Contestant,TournamentName,Outcome,Winnings,Format
Matt Jackson,Tournament of Champions,1st runner-up,100000,Tournament
Matt Jackson,All-Star Games,2nd place,100000,Tournament
Roger Craig,Tournament of Champions,Tournament champion,250000,Tournament
Roger Craig,All-Star Games,2nd place,25000,Tournament
Roger Craig,Battle of the Decades,2nd runner-up,50000,Tournament
Colby Burnett,Teachers Tournament,Tournament champion,100000,Tournament
Colby Burnett,Tournament of Champions,Tournament champion,250000,Tournament
Colby Burnett,All-Star Games,3rd place,33333,Tournament
Colby Burnett,Battle of the Decades,2nd place,25000,Tournament
Julia Collins,Tournament of Champions,2nd runner-up,50000,Tournament
Julia Collins,All-Star Games,3rd place,16667,Tournament
