Contestant,GameIdForUrl,GameId,Date,FinalScore,Outcome,GameFormat,TournamentName,CoryatScore,QuestionsRight,DailyDoublesRight,QuestionsWrong,DailyDoublesWrong
Ken Jennings,1551,4561,"Monday, June 7, 2004",30000,"4-day champion: $126,201",Regular Season,Regular Season,24400,25,1,0,0
Ken Jennings,1539,4560,"Friday, June 4, 2004",37000,"3-day champion: $96,201",Regular Season,Regular Season,30600,36,3,1,0
Ken Jennings,1517,4559,"Thursday, June 3, 2004",22000,"2-day champion: $59,201",Regular Season,Regular Season,30000,33,1,2,0
Ken Jennings,224,4558,"Wednesday, June 2, 2004",37201,"New champion: $37,201",Regular Season,Regular Season,19600,27,1,3,0
Ken Jennings,3577,6088,"Wednesday, February 16, 2011",19200,Accumulated Game,Exhibition,IBM Challenge,15200,17,1,1,0
Ken Jennings,3576,6087,"Tuesday, February 15, 2011",4800,Accumulated Game,Exhibition,IBM Challenge,2400,9,0,3,0
Ken Jennings,6231,7941,"Monday, March 4, 2019",32500,Accumulated Game,Tournament,All-Star Games,22800,22,1,1,0
Ken Jennings,6227,7937,"Tuesday, February 26, 2019",40003,Accumulated Game,Tournament,All-Star Games,24000,27,3,2,0
Ken Jennings,6232,7942,"Tuesday, March 5, 2019",16200,Accumulated Game,Tournament,All-Star Games,16200,21,0,2,0
Ken Jennings,6228,7938,"Wednesday, February 27, 2019",30738,Accumulated Game,Tournament,All-Star Games,24400,27,2,2,0
Ken Jennings,4506,6840,"Friday, May 16, 2014",599,Accumulated Game,Tournament,Battle of the Decades,13600,20,0,1,0
Ken Jennings,4505,6839,"Thursday, May 15, 2014",7000,Accumulated Game,Tournament,Battle of the Decades,12000,21,0,3,0
Ken Jennings,4503,6836,"Monday, May 12, 2014",30401,Finalist,Tournament,Battle of the Decades,21200,32,1,2,1
Ken Jennings,4499,6834,"Thursday, May 8, 2014",40000,Automatic semifinalist,Tournament,Battle of the Decades,27000,32,1,3,1
Ken Jennings,4465,6809,"Thursday, April 3, 2014",23600,Quarterfinalist,Tournament,Battle of the Decades,16200,24,2,3,0
Ken Jennings,6526,7,"Tuesday, January 14, 2020",65600,Accumulated Game,Regular Season,Greatest of All Time,16400,22,2,1,0
Ken Jennings,6527,8,"Tuesday, January 14, 2020",23000,Accumulated Game,Regular Season,Greatest of All Time,21000,22,1,2,1
Ken Jennings,6521,5,"Thursday, January 9, 2020",51200,Accumulated Game,Regular Season,Greatest of All Time,18000,21,1,2,0
Ken Jennings,6522,6,"Thursday, January 9, 2020",16400,Accumulated Game,Regular Season,Greatest of All Time,17600,22,0,1,0
Ken Jennings,6518,3,"Wednesday, January 8, 2020",40000,Accumulated Game,Regular Season,Greatest of All Time,15600,18,1,1,0
Ken Jennings,6519,4,"Wednesday, January 8, 2020",17400,Accumulated Game,Regular Season,Greatest of All Time,21200,26,0,1,0
Ken Jennings,6515,1,"Tuesday, January 7, 2020",45000,Accumulated Game,Regular Season,Greatest of All Time,25800,29,1,0,0
Ken Jennings,6516,2,"Tuesday, January 7, 2020",18400,Accumulated Game,Regular Season,Greatest of All Time,10400,19,1,5,0
James Holzhauer,6259,7967,"Tuesday, April 9, 2019",110914,"4-day champion: $244,365",Regular Season,Regular Season,35400,42,3,1,0
James Holzhauer,6266,7973,"Wednesday, April 17, 2019",131127,"10-day champion: $697,787",Regular Season,Regular Season,36600,40,2,0,0
James Holzhauer,6468,8095,"Friday, November 15, 2019",27597,Accumulated Game,Tournament,Tournament of Champions,24800,30,1,3,1
James Holzhauer,6467,8094,"Thursday, November 14, 2019",49326,Accumulated Game,Tournament,Tournament of Champions,22400,28,2,3,1
James Holzhauer,6465,8092,"Tuesday, November 12, 2019",30156,Finalist,Tournament,Tournament of Champions,22600,27,2,1,0
James Holzhauer,6461,8088,"Wednesday, November 6, 2019",30635,Automatic semifinalist,Tournament,Tournament of Champions,31200,33,1,1,0
James Holzhauer,6304,8006,"Monday, June 3, 2019",24799,"2nd place: $2,000",Regular Season,Regular Season,23400,25,1,0,0
James Holzhauer,6303,8005,"Friday, May 31, 2019",79633,"32-day champion: $2,462,216",Regular Season,Regular Season,33600,37,3,3,0
James Holzhauer,6302,8004,"Thursday, May 30, 2019",58612,"31-day champion: $2,382,583",Regular Season,Regular Season,26000,32,3,1,0
James Holzhauer,6300,8003,"Wednesday, May 29, 2019",69033,"30-day champion: $2,323,971",Regular Season,Regular Season,31400,35,2,1,0
James Holzhauer,6297,8002,"Tuesday, May 28, 2019",59381,"29-day champion: $2,254,938",Regular Season,Regular Season,32000,34,1,0,0
James Holzhauer,6295,8001,"Monday, May 27, 2019",130022,"28-day champion: $2,195,557",Regular Season,Regular Season,37600,40,3,0,0
James Holzhauer,6293,8000,"Friday, May 24, 2019",74400,"27-day champion: $2,065,535",Regular Season,Regular Season,28200,37,1,2,0
James Holzhauer,6292,7999,"Thursday, May 23, 2019",52108,"26-day champion: $1,991,135",Regular Season,Regular Season,24600,26,1,1,0
James Holzhauer,6291,7998,"Wednesday, May 22, 2019",71885,"25-day champion: $1,939,027",Regular Season,Regular Season,31600,35,2,1,0
James Holzhauer,6290,7997,"Tuesday, May 21, 2019",86905,"24-day champion: $1,867,142",Regular Season,Regular Season,31400,34,3,0,0
James Holzhauer,6289,7996,"Monday, May 20, 2019",89229,"23-day champion: $1,780,237",Regular Season,Regular Season,32000,37,3,0,0
James Holzhauer,6278,7985,"Friday, May 3, 2019",82381,"22-day champion: $1,691,008",Regular Season,Regular Season,37200,43,2,0,0
James Holzhauer,6277,7984,"Thursday, May 2, 2019",80615,"21-day champion: $1,608,627",Regular Season,Regular Season,31800,35,3,4,0
James Holzhauer,6276,7983,"Wednesday, May 1, 2019",101682,"20-day champion: $1,528,012",Regular Season,Regular Season,38200,42,3,0,0
James Holzhauer,6275,7982,"Tuesday, April 30, 2019",96726,"19-day champion: $1,426,330",Regular Season,Regular Season,37800,43,3,0,0
James Holzhauer,6274,7981,"Monday, April 29, 2019",54017,"18-day champion: $1,329,604",Regular Season,Regular Season,25600,28,1,1,1
James Holzhauer,6273,7980,"Friday, April 26, 2019",49600,"17-day champion: $1,275,587",Regular Season,Regular Season,29600,34,0,2,0
James Holzhauer,6272,7979,"Thursday, April 25, 2019",90812,"16-day champion: $1,225,987",Regular Season,Regular Season,28400,36,3,1,0
James Holzhauer,6271,7978,"Wednesday, April 24, 2019",73621,"15-day champion: $1,135,175",Regular Season,Regular Season,32000,37,2,1,0
James Holzhauer,6270,7977,"Tuesday, April 23, 2019",118816,"14-day champion: $1,061,554",Regular Season,Regular Season,34000,41,3,1,0
James Holzhauer,6269,7976,"Monday, April 22, 2019",90812,"13-day champion: $942,738",Regular Season,Regular Season,33600,37,3,0,0
James Holzhauer,6268,7975,"Friday, April 19, 2019",80006,"12-day champion: $851,926",Regular Season,Regular Season,25600,35,2,4,1
James Holzhauer,6267,7974,"Thursday, April 18, 2019",74133,"11-day champion: $771,920",Regular Season,Regular Season,33400,39,3,0,0
James Holzhauer,6265,7972,"Tuesday, April 16, 2019",106181,"9-day champion: $566,660",Regular Season,Regular Season,36000,42,3,2,0
James Holzhauer,6263,7971,"Monday, April 15, 2019",45444,"8-day champion: $460,479",Regular Season,Regular Season,30800,37,2,2,1
James Holzhauer,6262,7970,"Friday, April 12, 2019",89158,"7-day champion: $415,035",Regular Season,Regular Season,29400,32,3,0,0
James Holzhauer,6261,7969,"Thursday, April 11, 2019",27190,"6-day champion: $325,877",Regular Season,Regular Season,18200,25,2,2,0
James Holzhauer,6260,7968,"Wednesday, April 10, 2019",54322,"5-day champion: $298,687",Regular Season,Regular Season,28600,31,1,2,1
James Holzhauer,6258,7966,"Monday, April 8, 2019",50845,"3-day champion: $133,451",Regular Season,Regular Season,28400,30,2,1,0
James Holzhauer,6257,7965,"Friday, April 5, 2019",38926,"2-day champion: $82,606",Regular Season,Regular Season,18800,22,1,1,0
James Holzhauer,6256,7964,"Thursday, April 4, 2019",43680,"New champion: $43,680",Regular Season,Regular Season,27800,31,2,1,0
James Holzhauer,6526,7,"Tuesday, January 14, 2020",34181,Accumulated Game,Regular Season,Greatest of All Time,22800,23,0,0,0
James Holzhauer,6527,8,"Tuesday, January 14, 2020",0,Accumulated Game,Regular Season,Greatest of All Time,25400,30,1,1,0
James Holzhauer,6521,5,"Thursday, January 9, 2020",27200,Accumulated Game,Regular Season,Greatest of All Time,13200,24,1,3,0
James Holzhauer,6522,6,"Thursday, January 9, 2020",6492,Accumulated Game,Regular Season,Greatest of All Time,12400,22,0,4,1
James Holzhauer,6518,3,"Wednesday, January 8, 2020",44314,Accumulated Game,Regular Season,Greatest of All Time,20400,28,2,2,0
James Holzhauer,6519,4,"Wednesday, January 8, 2020",38100,Accumulated Game,Regular Season,Greatest of All Time,16000,22,1,2,0
James Holzhauer,6515,1,"Tuesday, January 7, 2020",33200,Accumulated Game,Regular Season,Greatest of All Time,16600,20,0,0,0
James Holzhauer,6516,2,"Tuesday, January 7, 2020",30000,Accumulated Game,Regular Season,Greatest of All Time,15000,19,0,2,0
David Madden,966,5002,"Tuesday, May 16, 2006",0,"3rd place: $10,000",Tournament,Tournament of Champions,4400,15,1,6,0
David Madden,959,4999,"Thursday, May 11, 2006",28001,Automatic semifinalist,Tournament,Tournament of Champions,20200,22,2,2,0
David Madden,512,4831,"Monday, September 19, 2005",13300,"2nd place: $2,000",Regular Season,Regular Season,7400,11,0,3,0
David Madden,509,4830,"Friday, September 16, 2005",16500,"19-day champion: $430,400",Regular Season,Regular Season,20000,23,2,3,0
David Madden,507,4829,"Thursday, September 15, 2005",22000,"18-day champion: $413,900",Regular Season,Regular Season,14400,17,3,0,0
David Madden,506,4828,"Wednesday, September 14, 2005",13200,"17-day champion: $391,900",Regular Season,Regular Season,15800,20,2,3,1
David Madden,503,4827,"Tuesday, September 13, 2005",23999,"16-day champion: $378,700",Regular Season,Regular Season,19800,25,2,3,0
David Madden,487,4826,"Monday, September 12, 2005",21400,"15-day champion: $354,701",Regular Season,Regular Season,23000,27,1,0,0
David Madden,459,4825,"Friday, July 22, 2005",28200,"14-day champion: $333,301",Regular Season,Regular Season,22800,26,3,0,0
David Madden,457,4824,"Thursday, July 21, 2005",25000,"13-day champion: $305,101",Regular Season,Regular Season,18800,21,3,2,0
David Madden,455,4823,"Wednesday, July 20, 2005",11000,"12-day champion: $280,101",Regular Season,Regular Season,8000,18,1,7,0
David Madden,453,4822,"Tuesday, July 19, 2005",30001,"11-day champion: $269,101",Regular Season,Regular Season,15400,18,2,2,0
David Madden,452,4821,"Monday, July 18, 2005",22000,"10-day champion: $239,100",Regular Season,Regular Season,22600,24,3,3,0
David Madden,448,4820,"Friday, July 15, 2005",18600,"9-day champion: $217,100",Regular Season,Regular Season,16200,21,2,1,0
David Madden,447,4819,"Thursday, July 14, 2005",25000,"8-day champion: $198,500",Regular Season,Regular Season,22800,27,3,2,0
David Madden,444,4818,"Wednesday, July 13, 2005",18000,"7-day champion: $173,500",Regular Season,Regular Season,18000,26,1,2,0
David Madden,442,4817,"Tuesday, July 12, 2005",29000,"6-day champion: $155,500",Regular Season,Regular Season,24800,30,3,0,0
David Madden,439,4816,"Monday, July 11, 2005",32100,"5-day champion: $126,500",Regular Season,Regular Season,33000,35,3,0,0
David Madden,433,4815,"Friday, July 8, 2005",25000,"4-day champion: $94,400",Regular Season,Regular Season,22000,26,2,3,1
David Madden,431,4814,"Thursday, July 7, 2005",34200,"3-day champion: $69,400",Regular Season,Regular Season,24800,32,2,0,0
David Madden,428,4813,"Wednesday, July 6, 2005",18800,"2-day champion: $35,200",Regular Season,Regular Season,20000,26,3,1,0
